Date,AAPL,MSFT
2024-01-02,185.64,370.87
2024-01-03,184.25,370.60
2024-01-04,181.91,367.94
2024-01-05,181.18,367.75
2024-01-08,185.56,374.69
2024-01-09,185.14,375.79
2024-01-10,186.19,382.77
2024-01-11,185.59,384.63
2024-01-12,185.92,388.47
2024-01-16,183.63,390.27
2024-01-17,182.68,389.47
2024-01-18,188.63,393.87
2024-01-19,191.56,398.67
2024-01-22,193.89,396.51
2024-01-23,195.18,398.90
2024-01-24,194.50,402.56
2024-01-25,194.17,404.87
2024-01-26,192.42,403.93
2024-01-29,191.73,409.72
2024-01-30,188.04,408.59
2024-01-31,184.40,397.58
2024-02-01,186.86,403.78
2024-02-02,185.85,411.22
2024-02-05,187.68,405.65
2024-02-06,189.30,405.49
2024-02-07,189.41,414.05
2024-02-08,188.32,414.11
2024-02-09,188.85,420.55
2024-02-12,187.15,415.26
2024-02-13,185.04,406.32
2024-02-14,184.15,409.49
2024-02-15,183.86,406.56
2024-02-16,182.31,404.06
2024-02-20,181.56,402.79
2024-02-21,182.32,402.18
2024-02-22,184.37,411.65
2024-02-23,182.52,410.34
2024-02-26,181.16,407.54
2024-02-27,182.63,407.48
2024-02-28,181.42,407.72
2024-02-29,180.75,413.64
